Function,Occurrence_Count,Failure_Count,Success_Count,Suspiciousness_Score
org/jfree/data/xy/XIntervalSeriesCollection:clone:()Ljava/lang/Object;,1,1.0,0.0,1.0
org/jfree/data/gantt/TaskSeriesCollection:getValue:(II)Ljava/lang/Number;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/plot/CategoryPlot:getFixedRangeAxisSpace:()Lorg/jfree/chart/axis/AxisSpace;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/annotations/CategoryTextAnnotation:setCategory:(Ljava/lang/Comparable;)V,2,1.0,1.0,0.9858532272325377
org/jfree/chart/annotations/CategoryTextAnnotation:setValue:(D)V,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/AreaRendererEndType:toString:()Ljava/lang/String;,4,2.0,2.0,0.9858532272325377
org/jfree/chart/renderer/xy/XYAreaRenderer:clone:()Ljava/lang/Object;,2,1.0,1.0,0.9858532272325377
org/jfree/data/gantt/TaskSeriesCollection:getPercentComplete:(II)Ljava/lang/Number;,2,1.0,1.0,0.9858532272325377
org/jfree/data/DefaultKeyedValues:sortByKeys:(Lorg/jfree/util/SortOrder;)V,2,1.0,1.0,0.9858532272325377
org/jfree/data/time/TimeSeriesCollection:getX:(Lorg/jfree/data/time/RegularTimePeriod;)J,2,1.0,1.0,0.9858532272325377
org/jfree/chart/axis/AxisSpace:clone:()Ljava/lang/Object;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/axis/AxisSpace:setBottom:(D)V,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/xy/XYAreaRenderer:setLegendArea:(Ljava/awt/Shape;)V,2,1.0,1.0,0.9858532272325377
org/jfree/data/time/TimeSeriesCollection:getDomainBounds:(Ljava/util/List;Z)Lorg/jfree/data/Range;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/plot/CategoryPlot:setFixedRangeAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;)V,2,1.0,1.0,0.9858532272325377
org/jfree/data/gantt/TaskSeriesCollection:getPercentComplete:(Ljava/lang/Comparable;Ljava/lang/Comparable;)Ljava/lang/Number;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/xy/XYBlockRenderer:findDomainBounds:(Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/data/Range;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/plot/CategoryPlot:setFixedDomainAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;)V,2,1.0,1.0,0.9858532272325377
org/jfree/data/gantt/Task:getPercentComplete:()Ljava/lang/Double;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/xy/XYAreaRenderer:writeObject:(Ljava/io/ObjectOutputStream;)V,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/xy/XYAreaRenderer:readObject:(Ljava/io/ObjectInputStream;)V,2,1.0,1.0,0.9858532272325377
org/jfree/chart/plot/CategoryPlot:getFixedDomainAxisSpace:()Lorg/jfree/chart/axis/AxisSpace;,2,1.0,1.0,0.9858532272325377
org/jfree/data/gantt/TaskSeriesCollection:getSubIntervalCount:(Ljava/lang/Comparable;Ljava/lang/Comparable;)I,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:setShapeStroke:(Ljava/awt/Stroke;)V,2,1.0,1.0,0.9858532272325377
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:setShapePaint:(Ljava/awt/Paint;)V,2,1.0,1.0,0.9858532272325377
org/jfree/data/gantt/TaskSeriesCollection:getColumnIndex:(Ljava/lang/Comparable;)I,2,1.0,1.0,0.9858532272325377
org/jfree/chart/axis/LogAxis:autoAdjustRange:()V,4,2.0,2.0,0.9858532272325377
org/jfree/data/xy/DefaultIntervalXYDataset:clone:()Ljava/lang/Object;,2,1.0,1.0,0.9858532272325377
org/jfree/chart/axis/LogAxis:calculateValueNoINF:(D)D,5,2.0,3.0,0.9789288849868306
org/jfree/chart/axis/LogAxis:configure:()V,5,2.0,3.0,0.9789288849868306
org/jfree/data/general/DatasetUtilities:findMaximumStackedRangeValue:(Lorg/jfree/data/category/CategoryDataset;)Ljava/lang/Number;,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/category/BarRenderer:getBarPainter:()Lorg/jfree/chart/renderer/category/BarPainter;,3,1.0,2.0,0.972101133391456
org/jfree/data/time/TimeSeriesCollection:getRangeBounds:(Ljava/util/List;Lorg/jfree/data/Range;Z)Lorg/jfree/data/Range;,3,1.0,2.0,0.972101133391456
org/jfree/chart/LegendItem:writeObject:(Ljava/io/ObjectOutputStream;)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/axis/DateAxis:draw:(Ljava/awt/Graphics2D;DLjava/awt/geom/Rectangle2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/axis/AxisState;,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/category/BarRenderer:getItemMargin:()D,3,1.0,2.0,0.972101133391456
org/jfree/chart/plot/CrosshairState:getAnchor:()Ljava/awt/geom/Point2D;,3,1.0,2.0,0.972101133391456
org/jfree/data/gantt/Task:getSubtaskCount:()I,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/category/AbstractCategoryItemRenderer:updateCrosshairValues:(Lorg/jfree/chart/plot/CategoryCrosshairState;Ljava/lang/Comparable;Ljava/lang/Comparable;DIDDLorg/jfree/chart/plot/PlotOrientation;)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/xy/XYBlockRenderer:findRangeBounds:(Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/data/Range;,3,1.0,2.0,0.972101133391456
org/jfree/chart/plot/CategoryPlot:isRangeCrosshairLockedOnData:()Z,3,1.0,2.0,0.972101133391456
org/jfree/data/time/TimeSeriesCollection:getSeriesKey:(I)Ljava/lang/Comparable;,3,1.0,2.0,0.972101133391456
org/jfree/data/gantt/TaskSeriesCollection:getSubIntervalCount:(II)I,3,1.0,2.0,0.972101133391456
org/jfree/data/gantt/TaskSeriesCollection:getEndValue:(II)Ljava/lang/Number;,3,1.0,2.0,0.972101133391456
org/jfree/data/gantt/TaskSeriesCollection:getEndValue:(Ljava/lang/Comparable;Ljava/lang/Comparable;)Ljava/lang/Number;,3,1.0,2.0,0.972101133391456
org/jfree/chart/plot/CategoryPlot:setFixedRangeAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;Z)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/axis/LogAxis:calculateValue:(D)D,6,2.0,4.0,0.972101133391456
org/jfree/data/general/DefaultHeatMapDataset:equals:(Ljava/lang/Object;)Z,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/category/BarRenderer:getShadowsVisible:()Z,3,1.0,2.0,0.972101133391456
org/jfree/chart/plot/CategoryPlot:setFixedDomainAxisSpace:(Lorg/jfree/chart/axis/AxisSpace;Z)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/category/BarRenderer:calculateSeriesWidth:(DLorg/jfree/chart/axis/CategoryAxis;II)D,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/AreaRendererEndType:readResolve:()Ljava/lang/Object;,3,1.0,2.0,0.972101133391456
org/jfree/chart/renderer/category/CategoryItemRendererState:getCrosshairState:()Lorg/jfree/chart/plot/CategoryCrosshairState;,3,1.0,2.0,0.972101133391456
org/jfree/chart/plot/CategoryCrosshairState:updateCrosshairPoint:(Ljava/lang/Comparable;Ljava/lang/Comparable;DIDDLorg/jfree/chart/plot/PlotOrientation;)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/axis/DateAxis$DefaultTimeline:equals:(Ljava/lang/Object;)Z,3,1.0,2.0,0.972101133391456
org/jfree/chart/plot/RingPlot:setSeparatorPaint:(Ljava/awt/Paint;)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/LegendItem:readObject:(Ljava/io/ObjectInputStream;)V,3,1.0,2.0,0.972101133391456
org/jfree/chart/axis/LogAxis:calculateLog:(D)D,7,2.0,5.0,0.9653679653679653
org/jfree/chart/axis/DateAxis$DefaultTimeline:containsDomainValue:(Ljava/util/Date;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/plot/RingPlot:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/data/xy/XIntervalSeriesCollection:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/data/gantt/TaskSeriesCollection:getColumnCount:()I,4,1.0,3.0,0.9587274290627688
org/jfree/data/time/TimeSeriesCollection:getSeries:(Ljava/lang/Comparable;)Lorg/jfree/data/time/TimeSeries;,4,1.0,3.0,0.9587274290627688
org/jfree/chart/renderer/category/GradientBarPainter:paintBar:(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/BarRenderer;IILjava/awt/geom/RectangularShape;Lorg/jfree/ui/RectangleEdge;)V,4,1.0,3.0,0.9587274290627688
org/jfree/chart/labels/SymbolicXYItemLabelGenerator:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/plot/RingPlot:<init>:(Lorg/jfree/data/general/PieDataset;)V,4,1.0,3.0,0.9587274290627688
org/jfree/chart/ChartFactory:createScatterPlot:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;Lorg/jfree/chart/plot/PlotOrientation;ZZZ)Lorg/jfree/chart/JFreeChart;,8,2.0,6.0,0.9587274290627688
org/jfree/data/general/DefaultHeatMapDataset:setZValue:(IID)V,4,1.0,3.0,0.9587274290627688
org/jfree/chart/event/AxisChangeEvent:getAxis:()Lorg/jfree/chart/axis/Axis;,4,1.0,3.0,0.9587274290627688
org/jfree/chart/ChartFactory:createScatterPlot:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/chart/JFreeChart;,8,2.0,6.0,0.9587274290627688
org/jfree/data/xy/DefaultIntervalXYDataset:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/data/statistics/DefaultStatisticalCategoryDataset:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/ChartFactory:createTimeSeriesChart:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;ZZZ)Lorg/jfree/chart/JFreeChart;,4,1.0,3.0,0.9587274290627688
org/jfree/data/KeyedValueComparator:compare:(Ljava/lang/Object;Ljava/lang/Object;)I,4,1.0,3.0,0.9587274290627688
org/jfree/data/KeyedValueComparator:<init>:(Lorg/jfree/data/KeyedValueComparatorType;Lorg/jfree/util/SortOrder;)V,4,1.0,3.0,0.9587274290627688
org/jfree/chart/axis/DateTickMarkPosition:readResolve:()Ljava/lang/Object;,4,1.0,3.0,0.9587274290627688
org/jfree/chart/axis/DateTickUnitType:readResolve:()Ljava/lang/Object;,4,1.0,3.0,0.9587274290627688
org/jfree/chart/title/PaintScaleLegend:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/title/PaintScaleLegend:axisChanged:(Lorg/jfree/chart/event/AxisChangeEvent;)V,4,1.0,3.0,0.9587274290627688
org/jfree/data/gantt/TaskSeriesCollection:getStartValue:(Ljava/lang/Comparable;Ljava/lang/Comparable;)Ljava/lang/Number;,4,1.0,3.0,0.9587274290627688
org/jfree/data/gantt/TaskSeriesCollection:getStartValue:(II)Ljava/lang/Number;,4,1.0,3.0,0.9587274290627688
org/jfree/chart/title/PaintScaleLegend:<init>:(Lorg/jfree/chart/renderer/PaintScale;Lorg/jfree/chart/axis/ValueAxis;)V,4,1.0,3.0,0.9587274290627688
org/jfree/chart/renderer/xy/XYAreaRenderer:equals:(Ljava/lang/Object;)Z,8,2.0,6.0,0.9587274290627688
org/jfree/data/xy/AbstractIntervalXYDataset:getStartYValue:(II)D,4,1.0,3.0,0.9587274290627688
org/jfree/data/xy/XIntervalSeriesCollection:addSeries:(Lorg/jfree/data/xy/XIntervalSeries;)V,4,1.0,3.0,0.9587274290627688
org/jfree/data/xy/AbstractIntervalXYDataset:getEndYValue:(II)D,4,1.0,3.0,0.9587274290627688
org/jfree/data/general/DefaultHeatMapDataset:setZValue:(IIDZ)V,4,1.0,3.0,0.9587274290627688
org/jfree/data/general/DefaultHeatMapDataset:<init>:(IIDDDD)V,4,1.0,3.0,0.9587274290627688
org/jfree/chart/renderer/category/StackedAreaRenderer:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/axis/DateAxis:hashCode:()I,4,1.0,3.0,0.9587274290627688
org/jfree/data/statistics/SimpleHistogramBin:equals:(Ljava/lang/Object;)Z,4,1.0,3.0,0.9587274290627688
org/jfree/chart/renderer/category/AreaRenderer:equals:(Ljava/lang/Object;)Z,9,2.0,7.0,0.9521776259607173
org/jfree/chart/plot/CategoryPlot:setDataset:(Lorg/jfree/data/category/CategoryDataset;)V,15,3.0,12.0,0.9457167090754878
org/jfree/chart/ChartFactory:createStackedBarChart:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/category/CategoryDataset;Lorg/jfree/chart/plot/PlotOrientation;ZZZ)Lorg/jfree/chart/JFreeChart;,5,1.0,4.0,0.9457167090754877
org/jfree/chart/axis/DateAxis:correctTickDateForPosition:(Ljava/util/Date;Lorg/jfree/chart/axis/DateTickUnit;Lorg/jfree/chart/axis/DateTickMarkPosition;)Ljava/util/Date;,5,1.0,4.0,0.9457167090754877
org/jfree/chart/labels/AbstractCategoryItemLabelGenerator:hashCode:()I,5,1.0,4.0,0.9457167090754877
org/jfree/data/time/Month:previous:()Lorg/jfree/data/time/RegularTimePeriod;,5,1.0,4.0,0.9457167090754877
org/jfree/chart/labels/StandardXYToolTipGenerator:getTimeSeriesInstance:()Lorg/jfree/chart/labels/StandardXYToolTipGenerator;,5,1.0,4.0,0.9457167090754877
org/jfree/chart/renderer/category/BarRenderer:getBase:()D,5,1.0,4.0,0.9457167090754877
org/jfree/data/DataUtilities:equal:([[D[[D)Z,5,1.0,4.0,0.9457167090754877
org/jfree/chart/axis/DateAxis:isHiddenValue:(J)Z,5,1.0,4.0,0.9457167090754877
org/jfree/chart/renderer/GrayPaintScale:getUpperBound:()D,5,1.0,4.0,0.9457167090754877
org/jfree/chart/renderer/GrayPaintScale:getLowerBound:()D,5,1.0,4.0,0.9457167090754877
org/jfree/chart/axis/AxisSpace:equals:(Ljava/lang/Object;)Z,5,1.0,4.0,0.9457167090754877
org/jfree/data/Range:combineIgnoringNaN:(Lorg/jfree/data/Range;Lorg/jfree/data/Range;)Lorg/jfree/data/Range;,5,1.0,4.0,0.9457167090754877
org/jfree/chart/ChartFactory:createGanttChart:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/category/IntervalCategoryDataset;ZZZ)Lorg/jfree/chart/JFreeChart;,5,1.0,4.0,0.9457167090754877
org/jfree/chart/axis/AxisState:cursorUp:(D)V,5,1.0,4.0,0.9457167090754877
org/jfree/data/time/TimeSeries:findValueRange:(Lorg/jfree/data/Range;Lorg/jfree/data/time/TimePeriodAnchor;Ljava/util/TimeZone;)Lorg/jfree/data/Range;,5,1.0,4.0,0.9457167090754877
org/jfree/data/time/RegularTimePeriod:getMillisecond:(Lorg/jfree/data/time/TimePeriodAnchor;Ljava/util/Calendar;)J,5,1.0,4.0,0.9457167090754877
org/jfree/chart/labels/SymbolicXYItemLabelGenerator:<init>:()V,5,1.0,4.0,0.9457167090754877
org/jfree/chart/renderer/AreaRendererEndType:equals:(Ljava/lang/Object;)Z,11,2.0,9.0,0.9393428812131425
org/jfree/chart/plot/CategoryPlot:cloneMarkerMap:(Ljava/util/Map;)Ljava/util/Map;,6,1.0,5.0,0.9330543933054394
org/jfree/data/xy/XIntervalSeriesCollection:<init>:()V,6,1.0,5.0,0.9330543933054394
org/jfree/chart/plot/CategoryPlot:clone:()Ljava/lang/Object;,6,1.0,5.0,0.9330543933054394
org/jfree/chart/renderer/category/StackedBarRenderer:findRangeBounds:(Lorg/jfree/data/category/CategoryDataset;)Lorg/jfree/data/Range;,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/DateAxis:valueToJava2D:(DLjava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)D,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/DateAxis:selectAutoTickUnit:(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)V,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/DateAxis:selectHorizontalAutoTickUnit:(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)V,6,1.0,5.0,0.9330543933054394
org/jfree/data/time/TimeSeries:getValue:(I)Ljava/lang/Number;,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/DateAxis:estimateMaximumTickLabelWidth:(Ljava/awt/Graphics2D;Lorg/jfree/chart/axis/DateTickUnit;)D,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/TickUnits:getCeilingTickUnit:(Lorg/jfree/chart/axis/TickUnit;)Lorg/jfree/chart/axis/TickUnit;,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/TickUnits:getCeilingTickUnit:(D)Lorg/jfree/chart/axis/TickUnit;,6,1.0,5.0,0.9330543933054394
org/jfree/chart/labels/AbstractXYItemLabelGenerator:<init>:(Ljava/lang/String;Ljava/text/DateFormat;Ljava/text/NumberFormat;)V,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/DateAxis:calculateDateForPosition:(Lorg/jfree/data/time/RegularTimePeriod;Lorg/jfree/chart/axis/DateTickMarkPosition;)Ljava/util/Date;,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/DateTickMarkPosition:toString:()Ljava/lang/String;,6,1.0,5.0,0.9330543933054394
org/jfree/data/statistics/SimpleHistogramBin:setItemCount:(I)V,6,1.0,5.0,0.9330543933054394
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:<init>:()V,6,1.0,5.0,0.9330543933054394
org/jfree/data/time/DateRange:<init>:()V,6,1.0,5.0,0.9330543933054394
org/jfree/chart/labels/StandardXYToolTipGenerator:<init>:(Ljava/lang/String;Ljava/text/DateFormat;Ljava/text/NumberFormat;)V,6,1.0,5.0,0.9330543933054394
org/jfree/chart/axis/LogAxis:<init>:(Ljava/lang/String;)V,13,2.0,11.0,0.9268495428096425
org/jfree/chart/axis/CategoryAnchor:toString:()Ljava/lang/String;,13,2.0,11.0,0.9268495428096425
org/jfree/chart/renderer/xy/XYAreaRenderer:<init>:(I)V,7,1.0,6.0,0.920726672171759
org/jfree/data/time/TimePeriodAnchor:readResolve:()Ljava/lang/Object;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:nextStandardDate:(Ljava/util/Date;Lorg/jfree/chart/axis/DateTickUnit;)Ljava/util/Date;,7,1.0,6.0,0.920726672171759
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:<init>:(ILorg/jfree/chart/labels/XYToolTipGenerator;Lorg/jfree/chart/urls/XYURLGenerator;)V,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:equals:(Ljava/lang/Object;)Z,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:refreshTicks:(Ljava/awt/Graphics2D;Lorg/jfree/chart/axis/AxisState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)Ljava/util/List;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateTickMarkPosition:equals:(Ljava/lang/Object;)Z,7,1.0,6.0,0.920726672171759
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:<init>:(I)V,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:refreshTicksHorizontal:(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)Ljava/util/List;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:getDateFormatOverride:()Ljava/text/DateFormat;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:getTickUnit:()Lorg/jfree/chart/axis/DateTickUnit;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateTickUnit:dateToString:(Ljava/util/Date;)Ljava/lang/String;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/ValueAxis:setDefaultAutoRange:(Lorg/jfree/data/Range;)V,14,2.0,12.0,0.920726672171759
org/jfree/data/general/Series:setDescription:(Ljava/lang/String;)V,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:calculateLowestVisibleTickValue:(Lorg/jfree/chart/axis/DateTickUnit;)Ljava/util/Date;,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis:configure:()V,14,2.0,12.0,0.920726672171759
org/jfree/data/time/DateRange:getUpperMillis:()J,7,1.0,6.0,0.920726672171759
org/jfree/data/time/DateRange:getLowerMillis:()J,7,1.0,6.0,0.920726672171759
org/jfree/data/time/Month:getFirstMillisecond:()J,7,1.0,6.0,0.920726672171759
org/jfree/chart/labels/IntervalCategoryToolTipGenerator:<init>:(Ljava/lang/String;Ljava/text/DateFormat;)V,7,1.0,6.0,0.920726672171759
org/jfree/data/time/Month:equals:(Ljava/lang/Object;)Z,7,1.0,6.0,0.920726672171759
org/jfree/chart/renderer/category/IntervalBarRenderer:findRangeBounds:(Lorg/jfree/data/category/CategoryDataset;)Lorg/jfree/data/Range;,7,1.0,6.0,0.920726672171759
org/jfree/chart/renderer/xy/XYAreaRenderer:<init>:()V,7,1.0,6.0,0.920726672171759
org/jfree/chart/axis/DateAxis$DefaultTimeline:toTimelineValue:(J)J,15,2.0,13.0,0.9146841673502871
org/jfree/chart/axis/DateAxis$DefaultTimeline:toMillisecond:(J)J,15,2.0,13.0,0.9146841673502871
